,k_entry,k_exit,EMA_days_12,EMA_days_26,STD_rw,MXMN_rw,Sharpe,Daily_returns_ROVI,Position_ROVI
225,0.85,0.55,3,30,50,26,-0.8510911525076615,-0.06666666666666676,1.0
226,0.85,0.55,3,30,50,26,8.796148398102778,0.0714285714285714,1.0
227,0.85,0.55,3,30,50,26,1.1183494237199132,0.050000000000000044,1.0
228,0.85,0.55,3,30,50,26,8.637468329054958,-0.007936507936507908,1.0
229,0.85,0.55,3,30,50,26,2.118076037315672,0.1200000000000001,1.0
230,0.85,0.55,3,30,50,26,8.735877489783519,0.0,1.0
231,0.85,0.55,3,30,50,26,2.2826151825622603,0.008571428571428452,1.0
232,0.85,0.55,3,30,50,26,8.5560888914123,-0.015580736543909235,1.0
233,0.85,0.55,3,30,50,26,8.081989282628994,-0.021582733812949728,1.0
234,0.85,0.55,3,30,50,26,7.8553855188469965,0.0,1.0
235,0.85,0.55,3,30,50,26,7.662852532367111,-0.014705882352941124,1.0
236,0.85,0.55,3,30,50,26,7.662852532367111,-0.0313432835820896,0.0
237,0.85,0.55,3,30,50,26,7.61545277833084,-0.0030816640986133237,-1.0
238,0.85,0.55,3,30,50,26,7.687903654728502,-0.013910355486862369,-1.0
239,0.85,0.55,3,30,50,26,7.300986267558083,0.026645768025078453,0.0
240,0.85,0.55,3,30,50,26,0.7645407812744663,-0.010687022900763288,1.0
241,0.85,0.55,3,30,50,26,1.7227270173190166,0.0,1.0
242,0.85,0.55,3,30,50,26,1.6064995601268754,0.0,1.0
243,0.85,0.55,3,30,50,26,1.6778193251217377,-0.00462962962962965,1.0
244,0.85,0.55,3,30,50,26,1.6682865474913446,-0.007751937984496138,1.0
245,0.85,0.55,3,30,50,26,0.697143065641957,0.0,1.0
246,0.85,0.55,3,30,50,26,0.8371140126366416,0.015625,1.0
247,0.85,0.55,3,30,50,26,0.6641151913227704,-0.01692307692307693,1.0
248,0.85,0.55,3,30,50,26,0.5798252622346006,-0.0015649452269169695,1.0
249,0.85,0.55,3,30,50,26,0.310002431337564,0.0031347962382446415,1.0
250,0.85,0.55,3,30,50,26,0.515048719323615,-0.017187500000000022,1.0
251,0.85,0.55,3,30,50,26,0.6217744246389725,0.019077901430842648,1.0
252,0.85,0.55,3,30,50,26,0.6793142777685377,-0.0015600624024960652,1.0
253,0.85,0.55,3,30,50,26,0.4901389080760298,0.0015624999999999112,1.0
254,0.85,0.55,3,30,50,26,0.3594771399774696,-0.009360374414976724,1.0
255,0.85,0.55,3,30,50,26,1.1623863166149366,0.08661417322834652,1.0
256,0.85,0.55,3,30,50,26,1.362590754103833,-0.036231884057971064,1.0
257,0.85,0.55,3,30,50,26,1.0822907045438233,-0.007518796992481258,1.0
258,0.85,0.55,3,30,50,26,1.3039538759219236,0.0,1.0
259,0.85,0.55,3,30,50,26,0.8390277065864419,-0.037878787878787845,1.0
260,0.85,0.55,3,30,50,26,0.986565730969181,-0.011023622047244053,1.0
261,0.85,0.55,3,30,50,26,0.986565730969181,-0.015923566878981,0.0
262,0.85,0.55,3,30,50,26,9.305631815376115,-0.029126213592232997,-1.0
263,0.85,0.55,3,30,50,26,9.039669580017836,-0.0016666666666665941,-1.0
264,0.85,0.55,3,30,50,26,-0.2725988352225918,-0.030050083472454192,0.0
265,0.85,0.55,3,30,50,26,-0.24690397369551811,-0.01376936316695343,0.0
266,0.85,0.55,3,30,50,26,-0.24690397369551811,0.03315881326352521,0.0
267,0.85,0.55,3,30,50,26,-0.11551108442644126,0.0,1.0
268,0.85,0.55,3,30,50,26,-0.11551108442644126,-0.013513513513513487,0.0
269,0.85,0.55,3,30,50,26,-0.19008413291268633,-0.008561643835616417,1.0
270,0.85,0.55,3,30,50,26,0.331630605058244,0.060449050086355705,1.0
271,0.85,0.55,3,30,50,26,0.6768917694344962,0.04234527687296419,1.0
272,0.85,0.55,3,30,50,26,0.5407293773784149,-0.01562500000000011,1.0
273,0.85,0.55,3,30,50,26,0.30084991618569834,-0.02857142857142858,1.0
274,0.85,0.55,3,30,50,26,0.0076382690127319245,0.019607843137254832,1.0
275,0.85,0.55,3,30,50,26,0.8654358771798618,0.009615384615384581,1.0
276,0.85,0.55,3,30,50,26,-0.08812473780145881,-0.022222222222222143,1.0
277,0.85,0.55,3,30,50,26,0.4655774073382774,-0.025974025974025983,1.0
278,0.85,0.55,3,30,50,26,-0.2734383146088127,0.0,0.0
279,0.85,0.55,3,30,50,26,0.1886439024698389,0.0,1.0
280,0.85,0.55,3,30,50,26,8.171024165569639,-0.018333333333333424,-1.0
281,0.85,0.55,3,30,50,26,8.089061122617,-0.01358234295415961,-1.0
282,0.85,0.55,3,30,50,26,-0.1019278441840652,-0.04302925989672979,0.0
283,0.85,0.55,3,30,50,26,-0.14693895926891448,-0.0017985611510791255,1.0
284,0.85,0.55,3,30,50,26,4.968428639104485,-0.018018018018017945,-1.0
285,0.85,0.55,3,30,50,26,0.03641926189762991,-0.003669724770642313,1.0
286,0.85,0.55,3,30,50,26,5.280237715062092,-0.0018416206261510082,-1.0
287,0.85,0.55,3,30,50,26,0.5615555919647914,0.053505535055350606,1.0
288,0.85,0.55,3,30,50,26,1.260506649498458,0.005253940455341555,1.0
289,0.85,0.55,3,30,50,26,5.0281709485511294,0.010452961672473782,0.0
290,0.85,0.55,3,30,50,26,0.9481659559942877,-0.010344827586206806,1.0
291,0.85,0.55,3,30,50,26,5.1287633136359485,-0.013937282229965153,0.0
292,0.85,0.55,3,30,50,26,1.1055575062072966,-0.028268551236749095,0.0
293,0.85,0.55,3,30,50,26,6.345140091752765,0.009090909090909038,-1.0
294,0.85,0.55,3,30,50,26,0.9826434421658756,0.0,0.0
295,0.85,0.55,3,30,50,26,6.115839904179838,0.010810810810810922,0.0
296,0.85,0.55,3,30,50,26,1.1794461211129084,0.02317290552584672,-1.0
297,0.85,0.55,3,30,50,26,2.6532045505541335,0.017421602787456303,0.0
298,0.85,0.55,3,30,50,26,1.4421160687037609,0.015410958904109595,-1.0
299,0.85,0.55,3,30,50,26,1.9416267838002716,-0.001686340640809414,0.0
300,0.85,0.55,3,30,50,26,0.6128265216580037,-0.005067567567567655,0.0
301,0.85,0.55,3,30,50,26,1.1164531088467833,-0.03735144312393879,-1.0
302,0.85,0.55,3,30,50,26,1.9579482014797804,-0.07407407407407407,-1.0
303,0.85,0.55,3,30,50,26,2.0568747489569725,-0.00952380952380949,-1.0
304,0.85,0.55,3,30,50,26,2.9596266811845706,-0.11538461538461553,-1.0
305,0.85,0.55,3,30,50,26,3.129788991398593,-0.019565217391304346,-1.0
306,0.85,0.55,3,30,50,26,3.000109436952582,0.008869179600886845,-1.0
307,0.85,0.55,3,30,50,26,3.7260437884043975,0.021978021978022122,-1.0
308,0.85,0.55,3,30,50,26,3.544569212538752,0.015053763440860068,-1.0
309,0.85,0.55,3,30,50,26,3.433451542697822,-0.004237288135593098,-1.0
310,0.85,0.55,3,30,50,26,4.016263778960176,-0.14893617021276595,-1.0
311,0.85,0.55,3,30,50,26,2.8963004095383416,0.0,-1.0
312,0.85,0.55,3,30,50,26,3.700716185565538,0.02499999999999991,-1.0
313,0.85,0.55,3,30,50,26,3.642336492975846,-0.03658536585365846,-1.0
314,0.85,0.55,3,30,50,26,4.090705134186227,-0.03797468354430389,-1.0
315,0.85,0.55,3,30,50,26,3.752356237434817,0.026315789473684292,-1.0
316,0.85,0.55,3,30,50,26,3.6234698840721995,0.012820512820512997,-1.0
317,0.85,0.55,3,30,50,26,3.631403404699716,-0.012658227848101333,0.0
318,0.85,0.55,3,30,50,26,3.41973208410432,0.025641025641025772,-1.0
319,0.85,0.55,3,30,50,26,3.4547049631591498,-0.025000000000000022,0.0
320,0.85,0.55,3,30,50,26,4.839853127536312,0.02051282051282044,-1.0
321,0.85,0.55,3,30,50,26,2.7115754375366206,0.005025125628140614,0.0
322,0.85,0.55,3,30,50,26,5.05515692618503,0.0,0.0
323,0.85,0.55,3,30,50,26,2.8695533277602876,0.0,0.0
324,0.85,0.55,3,30,50,26,5.077638475797783,0.0,0.0
325,0.85,0.55,3,30,50,26,4.898600567509786,0.0024999999999999467,0.0
326,0.85,0.55,3,30,50,26,4.958080552851834,0.04738154613466339,0.0
327,0.85,0.55,3,30,50,26,4.958080552851834,0.0023809523809523725,0.0
328,0.85,0.55,3,30,50,26,4.027221849731475,-0.014251781472684022,0.0
329,0.85,0.55,3,30,50,26,5.229329733244891,-0.01686746987951815,0.0
330,0.85,0.55,3,30,50,26,4.978327987859556,0.0171568627450982,-1.0
331,0.85,0.55,3,30,50,26,4.902847819994436,0.012048192771084265,0.0
332,0.85,0.55,3,30,50,26,3.8099843847114205,0.07619047619047614,-1.0
333,0.85,0.55,3,30,50,26,2.268635570028757,0.04646017699115057,0.0
334,0.85,0.55,3,30,50,26,2.2194528274355454,0.00845665961945019,0.0
335,0.85,0.55,3,30,50,26,2.4054924033476053,-0.05660377358490554,0.0
336,0.85,0.55,3,30,50,26,2.2006767248137913,0.017777777777777892,-1.0
337,0.85,0.55,3,30,50,26,2.2006767248137913,0.05676855895196509,0.0
338,0.85,0.55,3,30,50,26,2.0959913725270125,0.008264462809917328,-1.0
339,0.85,0.55,3,30,50,26,2.0959913725270125,0.014344262295082011,0.0
340,0.85,0.55,3,30,50,26,1.8985375877726511,0.018181818181818077,-1.0
341,0.85,0.55,3,30,50,26,3.0757216930905535,0.02182539682539697,1.0
342,0.85,0.55,3,30,50,26,1.8985375877726507,0.0,-1.0
343,0.85,0.55,3,30,50,26,3.093722938090581,-0.009708737864077777,1.0
344,0.85,0.55,3,30,50,26,2.6691166928418197,-0.021568627450980316,-1.0
345,0.85,0.55,3,30,50,26,3.0509954218387993,-0.002004008016032066,-1.0
346,0.85,0.55,3,30,50,26,3.0330217313733483,0.008032128514056103,-1.0
347,0.85,0.55,3,30,50,26,2.979852531347858,0.0019920318725101804,-1.0
348,0.85,0.55,3,30,50,26,2.800293025625093,0.007952286282306265,-1.0
349,0.85,0.55,3,30,50,26,3.1099598466971066,-0.007889546351084853,-1.0
350,0.85,0.55,3,30,50,26,2.7596612026819245,0.017892644135188762,-1.0
351,0.85,0.55,3,30,50,26,3.1680209639197803,0.05859375,1.0
352,0.85,0.55,3,30,50,26,1.4776071983074412,0.02029520295202958,-1.0
353,0.85,0.55,3,30,50,26,2.400913752382241,-0.07233273056057876,1.0
354,0.85,0.55,3,30,50,26,1.4932632825512042,0.04873294346978563,0.0
355,0.85,0.55,3,30,50,26,2.9822692840265743,-0.011152416356877248,1.0
356,0.85,0.55,3,30,50,26,1.739281281685449,-0.001879699248120481,-1.0
357,0.85,0.55,3,30,50,26,3.5760351927453344,0.030131826741996326,1.0
358,0.85,0.55,3,30,50,26,1.7592688837246473,0.005484460694698434,-1.0
359,0.85,0.55,3,30,50,26,3.9891354461375736,-0.014545454545454528,1.0
360,0.85,0.55,3,30,50,26,1.940957393703491,-0.0018450184501844769,-1.0
361,0.85,0.55,3,30,50,26,3.64306818304235,0.003696857670979492,1.0
362,0.85,0.55,3,30,50,26,1.755244915955482,-0.014732965009208066,-1.0
363,0.85,0.55,3,30,50,26,3.266587728326851,-0.005607476635513864,-1.0
364,0.85,0.55,3,30,50,26,3.1418577492009114,0.011278195488721776,-1.0
365,0.85,0.55,3,30,50,26,1.7560195257825377,-0.011152416356877248,-1.0
366,0.85,0.55,3,30,50,26,3.7222806041733296,-0.007518796992481258,0.0
367,0.85,0.55,3,30,50,26,3.6271480297629695,0.017045454545454586,0.0
368,0.85,0.55,3,30,50,26,3.3865988356248424,-0.020484171322160183,1.0
369,0.85,0.55,3,30,50,26,1.6240194932097805,0.020912547528517234,-1.0
370,0.85,0.55,3,30,50,26,1.6822020597960705,-0.0018621973929235924,-1.0
371,0.85,0.55,3,30,50,26,1.6884684102742482,0.01679104477611948,-1.0
372,0.85,0.55,3,30,50,26,1.6884684102742482,0.07155963302752277,0.0
